StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention,archeo_basic_learn,archeo_basic_impress,archeo_basic_comp,archeo_basic_trust,archeo_basic_cons,entom_imp_learn,entom_imp_impress,entom_imp_comp,entom_imp_trust,entom_imp_cons,archeo_imp_learn,archeo_imp_impress,archeo_imp_comp,archeo_imp_trust,archeo_imp_cons,entom_basic_learn,entom_basic_impress,entom_basic_comp,entom_basic_trust,entom_basic_cons,Q1,gender,age,education,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"We invite you to participate in a scientific experiment. Participation requires that you give your informed consent. Before proceeding, please consider the following information:    The study will take about 5 minutes to complete.    There are no risks involved in this study.    You will be paid for your participation at the posted rate (provided that you complete the whole study, including demographic questions).    Your individual privacy will be maintained in all published and written data resulting from the study.     Participation in this research study is voluntary. You may choose not to participate.     By ticking the box below, and proceeding to the study task you certify that you have read this form, and agreed to participate in accordance with the above conditions.","Imagine you are playing video games with a friend and at some point your friend says:     “I don’t want to play this game anymore! To make sure that you read the instructions, please write the three following words ""I pay attention"" in the box below. I really dislike this game, it's the most overrated game ever.”      Do you agree with your friend?",How much do you feel you’ve learnt about human history by reading this text?,How impressive do you think the findings of the archaeologists described in the text are?,Would you agree that reading this text has made you think of archaeologists  as more competent than you thought before?,"Having read this text, would you agree that you trust the discipline of archaeology more than you did before?",To which extent do you think the findings from the short text you just read reflect a minority or a majority opinion among archaeologists?,How much do you feel you’ve learnt about insects by reading this text?,How impressive do you think the findings of the entomologists described in the text are?,Would you agree that reading this text has made you think of entomologists as more competent than you thought before?,"Having read this text, would you agree that you trust the discipline of entomology (the science of insects) more than you did before?",To which extent do you think the findings from the short text you just read reflect a minority or a majority opinion among entomologists?,How much do you feel you’ve learnt about human history by reading this text?,How impressive do you think the findings of the archaeologists described in the text are?,Would you agree that reading this text has made you think of archaeologists  as more competent than you thought before?,"Having read this text, would you agree that you trust the discipline of archaeology more than you did before?",To which extent do you think the findings from the short text you just read reflect a minority or a majority opinion among archaeologists?,How much do you feel you’ve learnt about insects by reading this text?,How impressive do you think the findings of the entomologists described in the text are?,Would you agree that reading this text has made you think of entomologists as more competent than you thought before?,"Having read this text, would you agree that you trust the discipline of entomology (the science of insects) more than you did before?",To which extent do you think the findings from the short text you just read reflect a minority or a majority opinion among entomologists?,"Before finishing, please provide the following information. Once you are done with these questions, please do not forget to press the arrow to complete the survey and get your completion code.",What is your gender?,What is your age?,What is the highest level of education you have completed?,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1211687480""}","{""ImportId"":""QID1211687479_TEXT""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID129""}","{""ImportId"":""QID130""}","{""ImportId"":""QID151""}","{""ImportId"":""QID146""}","{""ImportId"":""QID147""}","{""ImportId"":""QID149""}","{""ImportId"":""QID150""}","{""ImportId"":""QID152""}","{""ImportId"":""QID170""}","{""ImportId"":""QID171""}","{""ImportId"":""QID173""}","{""ImportId"":""QID174""}","{""ImportId"":""QID175""}","{""ImportId"":""QID140""}","{""ImportId"":""QID141""}","{""ImportId"":""QID143""}","{""ImportId"":""QID144""}","{""ImportId"":""QID153""}","{""ImportId"":""QID1211775182""}","{""ImportId"":""QID1211775183""}","{""ImportId"":""QID1211775184_TEXT""}","{""ImportId"":""QID1211775185""}","{""ImportId"":""PROLIFIC_PID""}"
2024-03-07 17:40:24,2024-03-07 17:42:38,0,82.68.211.54,100,134,1,2024-03-07 17:42:39,R_2CfpDwTIcbhrpr2,,,,,53.5815,-2.1778,anonymous,EN,1,I pay attention,,,,,,,,,,,4,3,2,2,4,4,3,2,2,4,,2,66,5,632ceafce1ba9fd51c9de424
2024-03-07 17:40:37,2024-03-07 17:42:41,0,90.249.92.7,100,123,1,2024-03-07 17:42:41,R_2QnSrj3bLwOnKBH,,,,,54.0837,-1.2332,anonymous,EN,1,I pay attention,3,3,4,4,3,4,4,4,4,3,,,,,,,,,,,,2,33,5,594c69ee4b07c400013aa466
2024-03-07 17:40:00,2024-03-07 17:42:43,0,195.195.235.241,100,163,1,2024-03-07 17:42:44,R_4xbkPM7V4BftPIB,,,,,50.3345,-4.7636,anonymous,EN,1,I pay attention,,,,,,,,,,,4,4,4,4,4,2,2,3,3,4,,1,30,2,5d6a924a9e02d2001514311a
2024-03-07 17:40:12,2024-03-07 17:43:56,0,86.140.110.238,100,224,1,2024-03-07 17:43:56,R_21cnwatZ72tggER,,,,,51.3878,-0.2945,anonymous,EN,1,I pay attention,2,3,3,4,4,3,4,4,4,4,,,,,,,,,,,,1,41,5,63d13c076dd249ca3a6bffbb
2024-03-07 17:41:45,2024-03-07 17:44:30,0,90.246.56.58,100,164,1,2024-03-07 17:44:30,R_1XiKmAv49lseK5r,,,,,53.8524,-1.5854,anonymous,EN,1,I pay attention,3,4,2,2,4,4,4,4,4,3,,,,,,,,,,,,2,35,6,5dec1798e4f840300cd3c680
2024-03-07 17:41:08,2024-03-07 17:44:35,0,92.40.47.72,100,207,1,2024-03-07 17:44:36,R_3Js0qNfm9pT66yJ,,,,,54.9735,-1.5673,anonymous,EN,1,I pay attention,,,,,,,,,,,5,5,4,4,4,3,3,3,4,2,,2,51,2,591c70f8f399850001c51444
2024-03-07 17:40:30,2024-03-07 17:44:56,0,81.154.135.160,100,265,1,2024-03-07 17:44:56,R_3k0oVnc0E8appU4,,,,,52.7983,-1.5652,anonymous,EN,1,i pay attention,,,,,,,,,,,3,4,4,4,4,4,4,4,4,3,,2,31,5,616c98c5821cbeeffb348e40
2024-03-07 17:43:17,2024-03-07 17:45:03,0,2.101.251.96,100,106,1,2024-03-07 17:45:04,R_5XLfG2t2wt8BLW1,,,,,53.7601,-1.8021,anonymous,EN,1,I pay attention,4,4,4,4,5,4,4,5,4,4,,,,,,,,,,,,1,22,5,5e57fceae74f46000be3e217
